Tempo;Canal A;Canal B
(ms);(V);(mV)

44,49299072;3,00134277;0,00305185
44,65683072;3,00134277;-0,45167392
44,82067072;3,00134277;-0,45167392
44,98451072;3,04620504;0,00305185
45,14835072;3,04620504;-0,45167392
45,31219072;3,04620504;0,00305185
45,47603072;3,04620504;0,00305185
45,63987072;3,00134277;-0,45167392
45,80371072;3,00134277;0,00305185
45,96755072;3,00134277;-0,45167392
46,13139071;3,00134277;0,00305185
46,29523071;3,04620504;-0,45167392
46,45907071;2,95648050;0,00305185
46,62291071;3,04620504;0,00305185
46,78675071;3,00134277;-0,45167392
46,95059071;3,00134277;0,00305185
47,11443071;3,00134277;-0,45167392
47,27827071;3,00134277;0,00305185
47,44211071;3,00134277;0,00305185
47,60595071;3,04620504;0,00305185
47,76979070;3,04620504;0,00305185
47,93363070;3,04620504;0,00305185
48,09747070;3,04620504;-0,45167392
48,26131070;3,04620504;0,00305185
48,42515070;3,00134277;0,00305185
48,58899070;3,00134277;0,00305185
48,75283070;3,00134277;0,00305185
48,91667070;3,00134277;0,00305185
49,08051070;2,95648050;0,00305185
49,24435070;3,00134277;0,00305185
49,40819069;3,00134277;0,00305185
49,57203069;3,00134277;0,00305185
49,73587069;3,00134277;0,00305185
49,89971069;3,04620504;0,00305185
50,06355069;3,04620504;0,00305185
50,22739069;3,04620504;0,00305185
50,39123069;3,04620504;0,91097748
50,55507069;3,04620504;0,00305185
50,71891069;3,00134277;0,00305185
50,88275069;3,04620504;0,00305185
51,04659068;3,00134277;0,00305185
51,21043068;3,04620504;0,00305185
51,37427068;3,04620504;0,00305185
51,53811068;3,04620504;0,45625171
51,70195068;3,04620504;0,00305185
51,86579068;3,00134277;0,00305185
52,02963068;3,00134277;0,00305185
52,19347068;3,04620504;0,00305185
52,35731068;3,04620504;0,00305185
52,52115068;3,04620504;0,00305185
52,68499067;3,04620504;0,00305185
52,84883067;3,04620504;0,00305185
53,01267067;3,04620504;0,00305185
53,17651067;3,04620504;0,00305185
53,34035067;3,00134277;0,00305185
53,50419067;3,00134277;0,00305185
53,66803067;2,95648050;0,00305185
53,83187067;3,00134277;0,00305185
53,99571067;3,00134277;-0,45167392
54,15955067;3,00134277;0,00305185
54,32339066;3,04620504;-0,45167392
54,48723066;3,00134277;0,00305185
54,65107066;3,04620504;0,00305185
54,81491066;3,04620504;-0,45167392
54,97875066;3,04620504;-0,45167392
55,14259066;3,04620504;-0,45167392
55,30643066;3,04620504;0,00305185
55,47027066;3,04620504;0,00305185
55,63411066;3,00134277;-0,45167392
55,79795066;3,00134277;-0,45167392
55,96179065;3,00134277;-0,45167392
56,12563065;3,04620504;0,00305185
56,28947065;3,00134277;-0,45167392
56,45331065;3,04620504;-0,45167392
56,61715065;3,00134277;-0,45167392
56,78099065;3,00134277;0,00305185
56,94483065;3,04620504;0,00305185
57,10867065;3,04620504;-0,45167392
57,27251065;3,04620504;-0,45167392
57,43635065;3,04620504;-0,45167392
57,60019064;3,00134277;0,00305185
57,76403064;3,00134277;-0,45167392
57,92787064;3,00134277;0,00305185
58,09171064;2,95648050;-0,90639967
58,25555064;3,04620504;0,00305185
58,41939064;3,00134277;0,00305185
58,58323064;3,00134277;0,00305185
58,74707064;3,00134277;-0,45167392
58,91091064;3,04620504;0,00305185
59,07475064;3,04620504;0,00305185
59,23859063;3,04620504;0,00305185
59,40243063;3,00134277;0,00305185
59,56627063;3,00134277;0,00305185
59,73011063;3,00134277;0,00305185
59,89395063;3,00134277;0,00305185
60,05779063;3,00134277;0,00305185
60,22163063;3,04620504;0,45625171
60,38547063;3,00134277;0,00305185
60,54931063;3,00134277;0,00305185
60,71315063;3,00134277;0,00305185
